Student_ID,Age,GPA,Attendance_Rate,Assignment_Avg,Exam_Score,LMS_Login_Frequency,Video_Engagement_Time,Forum_Interactions,Engagement_Score,Stress_Level_Index,Dropout_Risk
STD00676,17,7.64,89.08,44.53,67.32,20,10.57,16,0.87,0.75,0
STD00677,21,4.91,71.85,77.07,62.3,19,2.12,18,0.22,0.55,0
STD00678,25,4.19,81.39,79.95,47.47,10,8.7,0,0.39,0.65,0
STD00679,18,9.82,82.37,62.72,56.7,16,4.11,14,0.81,0.91,0
STD00680,17,8.64,92.19,97.27,82.3,5,6.76,12,0.67,0.46,0
STD00681,25,9.88,66.25,92.45,78.5,20,9.69,2,0.83,0.45,0
STD00682,25,6.87,84.36,82.48,39.67,9,4.23,1,0.8,0.1,0
STD00683,25,7.19,98.08,82.82,83.58,8,1.26,2,0.24,0.65,0
STD00684,22,5.01,86.51,55.14,38.45,11,0.65,8,0.91,0.13,0
STD00685,24,5.48,74.49,79.41,70.29,16,0.82,15,0.38,0.55,0
STD00686,17,9.03,81.54,51.89,51.9,7,0.62,12,0.64,0.82,0
STD00687,20,6.14,86.98,48.64,73.2,15,2.1,18,0.72,0.59,0
STD00688,17,8.96,80.61,99.97,51.99,24,3.97,17,0.33,0.34,0
STD00689,24,8.25,50.83,77.34,99.02,21,3.71,11,0.98,0.81,0
STD00690,17,5.06,59.74,65.86,55.13,20,14.81,11,0.59,0.34,0
STD00691,19,7.04,90.52,57.29,50.73,23,4.94,0,0.25,0.76,0
STD00692,20,8.06,63.63,76.24,53.1,17,2.35,19,0.95,0.65,0
STD00693,24,5.41,86.58,42.98,93.27,6,8.41,7,0.67,0.25,0
STD00694,22,8.98,68.61,45.68,76.35,15,12.94,16,0.76,0.91,0
STD00695,23,7.27,76.09,41.97,82.49,8,10.33,19,0.62,0.28,0
STD00696,24,4.99,53.4,69.95,94.67,7,4.79,6,0.87,0.99,0
STD00697,18,7.5,59.06,76.04,94.27,2,8.64,8,0.23,0.11,0
STD00698,24,10.0,97.86,43.75,83.03,13,10.87,16,0.41,0.34,0
STD00699,19,4.9,94.51,83.27,47.86,23,11.06,9,0.58,0.28,0
STD00700,23,8.9,82.61,53.82,89.82,6,10.16,3,0.26,0.11,0
STD00701,19,5.24,72.98,81.11,48.25,5,13.13,6,0.76,0.76,0
STD00702,23,8.69,83.79,98.91,83.29,20,13.12,6,0.51,0.72,0
STD00703,18,8.41,80.93,81.47,79.56,1,8.89,7,0.42,0.81,0
STD00704,22,5.8,78.43,92.99,84.33,18,6.73,7,0.2,0.33,0
STD00705,19,5.95,52.96,96.89,69.62,15,9.8,15,0.78,0.5,0
STD00706,19,8.76,81.64,69.21,76.52,23,12.36,11,0.87,0.69,0
STD00707,25,6.77,88.45,82.14,96.97,10,0.58,14,0.52,0.5,0
STD00708,23,8.38,99.7,91.12,41.57,3,14.88,7,0.65,0.73,0
STD00709,21,4.89,50.55,61.4,55.08,5,3.15,8,0.38,0.67,1
STD00710,23,9.12,86.51,55.68,74.74,24,7.32,2,0.7,0.2,0
STD00711,25,8.27,78.59,96.8,97.66,13,13.14,15,0.21,0.8,0
STD00712,17,9.44,71.7,83.58,41.21,8,3.76,14,0.59,0.75,0
STD00713,23,4.79,56.38,53.18,36.47,22,7.41,3,0.72,0.69,0
STD00714,22,7.56,70.45,66.95,38.62,21,2.42,19,0.93,0.24,0
STD00715,25,7.59,67.72,87.79,38.41,2,6.23,15,0.51,0.34,0
STD00716,17,6.12,65.14,72.82,94.01,9,3.07,9,0.81,0.45,0
STD00717,20,6.75,86.54,79.0,81.88,17,5.77,10,0.68,0.35,0
STD00718,25,4.23,85.04,85.23,79.01,18,5.92,4,0.94,0.31,0
STD00719,20,8.48,79.45,77.32,68.97,13,14.9,10,0.52,0.82,0
STD00720,19,7.3,96.93,72.4,85.83,1,14.92,12,0.46,0.67,0
STD00721,25,4.35,67.49,84.98,45.12,12,2.16,14,0.91,0.61,0
STD00722,18,8.08,62.19,83.65,60.48,20,11.03,5,0.24,0.3,0
STD00723,20,6.8,82.8,77.79,66.85,20,1.25,15,0.31,0.93,0
STD00724,22,4.21,59.94,61.59,42.18,21,0.94,14,0.27,0.27,1
STD00725,18,9.82,65.75,64.35,62.27,5,2.03,10,0.87,0.82,0
STD00726,24,9.69,61.23,98.23,55.57,8,14.5,19,0.21,0.97,0
STD00727,24,7.08,53.46,46.74,37.31,15,14.14,1,0.89,0.75,0
STD00728,17,4.56,91.37,56.11,43.89,3,3.31,1,0.56,0.99,0
STD00729,19,8.53,62.73,69.54,84.66,6,2.84,11,0.2,0.69,0
STD00730,25,6.95,73.65,90.2,36.17,13,3.99,15,0.52,0.3,0
STD00731,21,5.81,52.17,49.82,95.73,12,7.98,18,0.35,0.28,1
STD00732,22,6.95,84.97,56.62,40.62,19,8.76,1,0.7,0.39,0
STD00733,20,7.13,66.53,43.95,86.95,18,3.71,16,0.74,0.11,0
STD00734,18,7.38,87.24,82.36,93.41,24,11.47,13,0.59,0.71,0
STD00735,24,6.65,70.62,54.29,96.17,1,4.99,15,0.23,0.34,0
STD00736,22,7.63,59.79,63.32,91.39,7,13.87,4,0.72,0.83,0
STD00737,21,9.51,75.66,66.62,53.69,12,10.02,9,0.87,0.42,0
STD00738,25,6.17,56.53,93.48,56.65,10,6.83,16,0.78,0.53,0
STD00739,17,8.35,72.03,64.68,62.73,12,11.95,12,0.86,0.97,0
STD00740,21,9.37,65.87,48.71,44.05,11,12.36,15,0.36,0.32,0
STD00741,22,6.74,95.6,71.46,36.45,4,4.71,8,0.91,0.75,0
STD00742,21,6.66,53.05,97.78,91.49,19,5.43,3,0.46,0.78,0
STD00743,22,7.61,84.7,76.46,71.02,6,14.07,15,0.21,0.3,0
STD00744,22,7.55,59.14,99.0,74.57,9,2.89,10,0.87,0.55,0
STD00745,23,8.84,65.95,90.47,95.25,20,1.11,6,0.95,0.42,0
STD00746,20,6.86,70.78,42.16,78.23,10,7.08,16,0.72,0.79,0
STD00747,24,9.98,95.4,79.5,79.91,5,12.12,12,0.39,0.66,0
STD00748,23,4.36,62.13,57.21,86.15,13,11.69,3,0.4,0.53,1
STD00749,25,4.02,54.57,73.58,42.56,9,13.83,13,0.57,0.8,0
STD00750,23,7.84,65.93,56.76,58.41,2,8.23,9,0.92,0.31,0
STD00751,19,5.79,55.23,60.93,97.93,18,1.95,9,0.32,0.78,1
STD00752,19,5.44,56.43,95.39,94.99,21,9.04,9,0.86,0.88,0
STD00753,24,5.87,78.69,52.4,92.46,1,11.79,11,0.43,0.89,0
STD00754,21,5.54,53.05,92.45,64.39,24,1.85,1,0.85,0.81,0
STD00755,20,4.18,51.55,41.83,90.72,21,3.0,8,0.94,0.47,0
STD00756,24,9.83,85.72,45.45,38.15,12,0.68,4,0.54,0.98,0
STD00757,22,5.32,68.08,91.28,44.65,10,9.11,7,0.49,0.44,1
STD00758,18,8.4,56.27,77.83,61.91,2,13.36,13,0.84,0.67,0
STD00759,20,8.58,62.68,84.83,66.42,9,10.22,6,0.62,0.24,0
STD00760,20,9.58,82.1,52.57,52.13,2,14.74,6,0.75,0.98,0
STD00761,22,4.18,63.78,72.23,58.17,23,1.41,8,0.7,0.73,0
STD00762,22,9.23,74.73,84.23,45.58,24,13.59,2,0.32,0.78,0
STD00763,17,7.16,56.08,77.64,66.79,22,12.3,13,0.88,0.16,0
STD00764,24,7.8,79.4,68.3,86.6,14,5.06,16,0.36,0.79,0
STD00765,22,7.87,65.8,97.59,77.99,11,14.62,17,0.95,0.8,0
STD00766,19,8.92,81.35,80.57,42.01,23,4.68,11,0.4,0.7,0
STD00767,25,6.0,90.42,94.47,66.69,11,13.39,13,0.79,0.36,0
STD00768,18,8.4,80.58,83.79,80.35,17,13.27,12,0.43,0.54,0
STD00769,24,7.17,64.79,84.13,69.44,4,11.49,13,0.45,0.2,0
STD00770,19,8.76,62.79,44.8,60.46,13,8.67,8,0.45,0.52,0
STD00771,21,9.94,66.37,61.57,75.42,7,2.24,18,0.8,0.32,0
STD00772,22,5.2,58.23,91.5,97.96,16,8.21,1,0.65,0.41,0
STD00773,22,9.97,59.06,53.96,41.17,1,5.67,10,0.91,0.25,0
STD00774,20,4.54,89.53,46.93,60.35,13,11.99,16,0.45,0.31,0
STD00775,19,4.01,69.24,59.57,61.43,1,11.49,1,0.75,0.17,0
STD00776,20,4.26,71.8,53.23,72.5,11,13.7,18,0.8,0.93,0
STD00777,17,6.05,79.7,95.52,44.89,6,0.72,6,0.32,0.58,0
STD00778,20,7.8,79.48,92.08,46.48,20,12.23,17,0.52,0.46,0
STD00779,17,4.41,53.37,69.98,53.55,3,14.11,12,0.59,0.58,0
STD00780,17,4.03,91.58,43.68,97.13,12,11.94,4,0.48,0.67,0
STD00781,22,9.62,58.87,82.87,82.72,5,2.39,17,0.46,0.93,0
STD00782,21,8.93,86.15,77.4,78.01,9,1.68,15,0.75,0.26,0
STD00783,20,8.86,88.63,98.23,88.1,12,0.8,14,0.37,0.37,0
STD00784,19,9.31,85.74,73.54,43.29,10,9.62,7,0.77,0.98,0
STD00785,17,8.2,78.95,60.18,90.86,19,9.63,14,0.95,0.43,0
STD00786,22,4.63,50.73,71.14,73.66,5,14.81,0,0.65,0.12,0
STD00787,18,6.39,68.02,98.76,56.8,5,6.27,16,0.69,0.23,0
STD00788,24,8.34,80.24,81.78,88.03,9,5.31,14,0.26,0.12,0
STD00789,21,5.68,69.37,80.32,87.17,20,9.55,13,0.89,0.99,0
STD00790,23,8.12,93.17,54.44,89.97,17,12.47,13,0.43,0.35,0
STD00791,18,4.15,65.44,84.62,42.51,10,14.08,9,0.69,0.93,0
STD00792,24,5.84,64.68,85.02,98.01,21,12.15,1,0.98,1.0,0
STD00793,18,7.29,63.3,59.04,97.38,1,6.69,5,0.68,0.64,0
STD00794,20,7.79,66.64,69.02,58.24,22,9.71,16,0.78,0.13,0
STD00795,17,7.46,77.87,57.68,39.28,16,12.92,4,0.56,0.17,0
STD00796,21,8.19,85.35,55.52,45.86,15,7.61,4,0.25,0.53,0
STD00797,25,4.04,83.13,41.55,99.53,23,3.64,14,0.84,0.47,0
STD00798,17,4.61,90.39,57.11,71.6,17,2.96,14,0.23,0.65,0
STD00799,25,9.21,94.3,73.24,58.18,20,0.5,19,0.76,0.49,0
STD00800,24,8.09,90.8,40.1,53.73,13,10.91,10,0.22,0.94,0
STD00801,22,4.68,50.95,56.99,51.7,1,2.11,4,0.89,0.58,0
STD00802,23,9.05,86.8,92.88,78.17,8,4.04,0,0.33,0.72,0
STD00803,19,5.45,60.42,75.62,62.26,5,4.82,10,0.61,0.91,0
STD00804,17,6.87,56.65,76.47,97.75,6,8.63,10,0.68,0.23,0
STD00805,21,4.87,81.92,64.2,79.45,23,6.27,5,0.57,0.31,0
STD00806,18,8.26,65.99,80.59,86.48,20,10.28,7,0.47,0.2,0
STD00807,21,8.0,52.86,51.4,54.03,14,1.31,1,0.57,0.23,0
STD00808,24,5.27,56.88,89.12,40.15,22,2.3,14,0.45,0.56,1
STD00809,25,9.18,50.05,47.0,66.71,23,7.74,8,0.55,0.39,0
STD00810,18,6.41,95.16,79.36,55.45,11,5.39,14,0.49,0.48,0
STD00811,19,5.76,51.23,60.47,48.14,6,4.79,7,0.65,0.98,0
STD00812,19,4.91,60.47,84.85,96.92,11,1.47,15,0.39,0.24,1
STD00813,17,5.6,70.81,72.99,63.86,13,13.49,13,0.99,0.59,0
STD00814,24,4.13,67.83,67.14,46.36,12,10.53,14,0.6,0.19,0
STD00815,22,7.5,95.59,50.17,47.91,22,2.26,19,0.36,0.39,0
STD00816,24,9.05,52.01,78.21,53.25,2,1.44,12,0.58,0.57,0
STD00817,25,7.29,75.61,98.49,99.96,21,14.64,8,0.89,0.95,0
STD00818,21,5.32,84.02,89.54,52.42,3,10.38,0,0.22,0.45,0
STD00819,19,4.2,96.58,43.6,56.37,23,6.55,5,0.74,0.16,0
STD00820,21,5.29,81.02,62.57,77.86,4,10.68,7,0.64,0.45,0
STD00821,21,6.5,90.19,95.53,54.11,17,11.47,19,0.34,0.23,0
STD00822,21,8.56,54.19,70.18,49.03,22,11.81,17,0.85,0.31,0
STD00823,19,5.13,69.3,79.73,45.31,6,7.43,17,0.5,0.66,0
STD00824,20,8.32,68.7,94.76,55.32,7,6.73,16,0.44,0.16,0
STD00825,25,9.2,94.31,92.43,41.88,15,0.66,15,0.86,0.52,0
STD00826,25,6.72,57.57,70.11,36.21,11,13.94,12,0.71,0.65,0
STD00827,18,8.93,57.59,66.26,87.3,24,9.25,3,0.92,0.48,0
STD00828,24,7.33,66.43,60.38,43.96,3,3.45,3,0.7,0.12,0
STD00829,24,7.82,52.72,83.14,85.44,6,13.83,13,0.79,0.99,0
STD00830,23,7.16,59.12,57.22,86.84,2,13.77,4,0.87,0.43,0
STD00831,24,6.78,98.26,54.99,69.96,14,14.84,15,0.24,0.8,0
STD00832,19,5.41,71.41,61.37,55.13,9,13.17,13,0.82,0.39,0
STD00833,22,5.82,81.6,50.63,44.43,18,14.97,13,0.69,0.53,0
STD00834,17,5.74,86.31,81.71,82.89,19,4.05,13,0.26,0.45,0
STD00835,23,7.38,68.35,76.97,74.09,12,12.71,13,0.61,0.41,0
STD00836,17,4.72,57.36,68.97,77.6,13,12.43,18,0.27,0.12,1
STD00837,25,9.5,60.33,63.42,35.56,12,3.85,2,0.79,0.42,0
STD00838,17,8.32,65.66,94.54,95.29,12,1.93,16,0.64,0.9,0
STD00839,17,6.41,81.8,41.75,39.31,18,14.7,13,0.96,0.72,0
STD00840,23,4.95,69.91,86.15,58.84,9,4.79,9,0.35,0.23,1
STD00841,18,9.29,50.34,94.11,61.18,17,13.13,12,0.68,0.63,0
STD00842,21,8.94,76.17,66.78,35.09,21,0.56,3,0.37,0.9,0
STD00843,24,8.33,96.08,73.04,67.31,16,0.8,10,0.69,0.73,0
STD00844,24,5.63,90.6,96.67,83.93,17,7.26,14,0.78,0.23,0
STD00845,19,6.41,91.26,52.74,88.51,21,3.96,14,0.78,0.88,0
STD00846,23,4.62,89.75,71.21,92.16,24,10.5,1,0.85,0.37,0
STD00847,19,5.13,66.19,68.48,66.7,8,8.7,10,0.88,0.51,0
STD00848,22,8.7,88.26,55.5,75.99,11,1.62,1,0.26,0.57,0
STD00849,22,8.29,57.16,89.12,40.17,24,2.86,4,0.47,0.87,0
STD00850,19,7.56,82.89,93.98,66.72,2,6.13,12,0.75,0.94,0
STD00851,23,9.37,82.08,86.92,45.06,8,3.19,0,0.6,0.94,0
STD00852,19,7.5,51.28,51.72,59.03,12,11.99,6,0.35,0.11,0
STD00853,24,6.8,89.4,45.2,56.4,21,6.53,6,0.64,0.93,0
STD00854,20,6.04,95.16,76.33,62.53,1,1.85,9,0.53,0.15,0
STD00855,17,9.64,63.37,43.43,72.16,23,7.52,5,0.51,0.34,0
STD00856,20,4.5,90.62,80.37,93.69,13,1.82,19,0.85,0.56,0
STD00857,23,9.59,54.12,71.83,60.64,22,2.37,11,0.53,0.53,0
STD00858,20,8.96,80.0,79.77,98.77,21,3.97,12,0.22,0.64,0
STD00859,22,4.78,74.28,75.41,84.34,17,12.96,10,0.25,0.53,0
STD00860,25,7.39,77.3,65.36,68.25,14,13.91,17,0.88,0.94,0
STD00861,17,9.2,96.31,52.05,76.86,14,12.48,1,0.97,0.32,0
STD00862,21,7.43,93.57,58.34,41.64,16,5.34,15,0.75,0.35,0
STD00863,23,9.44,89.25,71.47,89.89,17,4.45,1,0.49,0.93,0
STD00864,17,9.66,63.68,79.11,72.85,6,8.46,18,0.95,0.17,0
STD00865,20,6.53,95.59,86.77,99.09,7,10.97,5,0.73,0.65,0
STD00866,22,6.26,54.88,86.03,76.37,1,14.9,0,0.88,0.71,0
STD00867,18,9.62,92.67,98.36,89.22,15,2.41,10,0.81,0.55,0
STD00868,21,8.05,66.41,57.15,86.98,20,1.21,17,0.5,0.72,0
STD00869,17,4.7,52.69,44.27,57.45,21,10.57,9,0.58,0.26,0
STD00870,22,4.25,83.47,60.74,51.87,18,12.57,17,0.35,0.87,0
STD00871,22,7.39,61.56,84.6,62.98,13,12.77,0,0.43,0.23,0
STD00872,20,9.58,62.18,66.29,65.37,24,10.34,18,0.82,0.46,0
STD00873,24,9.07,65.3,89.07,50.61,2,14.33,15,0.92,0.17,0
STD00874,20,8.06,53.18,72.96,93.15,19,7.91,6,0.78,0.59,0
STD00875,24,4.83,58.86,95.79,70.27,15,13.75,14,0.57,0.7,0
STD00876,24,5.53,50.26,96.87,98.6,12,14.53,0,0.27,0.95,1
STD00877,21,9.25,72.27,44.16,87.65,15,12.78,8,0.25,0.77,0
STD00878,20,5.1,54.21,67.38,71.12,18,4.99,1,0.5,0.59,0
STD00879,18,5.67,84.13,76.58,96.56,14,3.35,16,0.57,0.94,0
STD00880,19,4.78,61.78,55.35,67.82,6,8.45,9,0.69,0.53,0
STD00881,19,8.06,97.18,64.42,92.66,12,7.07,5,0.21,0.61,0
STD00882,20,9.66,93.56,80.66,58.28,20,13.23,4,0.99,0.64,0
STD00883,20,5.61,64.47,53.6,59.61,23,1.95,7,0.49,0.47,1
STD00884,21,6.85,89.16,76.12,62.18,6,4.24,7,0.88,0.85,0
STD00885,20,7.81,90.16,81.85,70.53,9,11.4,4,0.63,0.27,0
STD00886,24,10.0,99.33,45.43,70.98,4,1.88,11,0.3,0.6,0
STD00887,22,4.63,79.89,69.85,67.27,17,5.15,6,0.84,0.75,0
STD00888,22,6.99,54.1,55.78,54.89,2,6.11,12,0.77,0.91,0
STD00889,24,6.31,82.34,83.46,95.27,16,9.53,12,0.62,0.9,0
STD00890,23,9.19,81.25,51.37,73.26,24,2.79,16,0.61,0.56,0
STD00891,24,6.86,81.92,93.53,61.5,14,12.98,3,0.27,0.68,0
STD00892,18,4.67,65.36,65.86,77.33,8,6.99,17,0.72,0.45,0
STD00893,25,7.81,92.98,51.88,84.92,14,13.8,9,0.93,0.52,0
STD00894,17,8.62,97.97,66.28,97.45,2,7.28,2,0.27,0.92,0
STD00895,24,4.02,60.89,64.52,67.47,16,4.49,11,0.41,0.94,1
STD00896,20,9.15,54.41,65.74,42.29,4,2.56,0,0.92,0.91,0
STD00897,20,5.12,59.73,75.13,63.65,1,0.55,10,0.43,0.22,1
STD00898,21,7.31,91.03,71.27,66.13,23,8.22,17,0.72,0.87,0
STD00899,24,6.49,83.83,48.99,93.3,20,2.05,12,0.63,0.95,0
STD00900,21,8.32,81.8,43.93,60.66,14,6.18,16,0.68,0.43,0
STD00901,24,6.23,70.09,83.76,96.97,8,9.04,7,0.53,0.57,0
STD00902,17,9.22,78.89,73.58,66.53,3,4.5,19,0.44,0.8,0
STD00903,25,8.38,65.39,61.54,98.3,5,3.04,18,0.24,0.61,0
STD00904,22,7.89,73.86,88.5,35.53,6,11.73,16,0.8,0.99,0
STD00905,19,8.78,89.65,63.28,93.42,22,14.23,1,0.8,0.51,0
STD00906,24,8.52,99.06,87.76,95.52,8,1.96,2,0.74,0.74,0
STD00907,25,4.22,96.62,58.35,97.47,6,2.76,2,0.71,0.81,0
STD00908,22,6.37,96.69,44.37,35.85,6,14.42,5,0.39,0.54,0
STD00909,23,9.58,70.11,95.96,46.16,4,1.05,9,0.22,0.87,0
STD00910,17,4.75,73.44,63.67,77.49,7,14.68,17,0.85,0.59,0
STD00911,21,8.42,85.28,87.56,36.66,24,0.57,17,0.59,0.47,0
STD00912,21,9.85,96.11,56.75,39.13,19,13.17,13,0.45,0.2,0
STD00913,20,4.31,57.1,78.78,49.37,7,4.96,15,0.28,0.45,1
STD00914,22,8.09,65.21,92.4,68.31,3,14.11,6,0.25,0.76,0
STD00915,23,6.81,56.96,42.5,70.48,8,5.1,0,0.48,0.93,0
STD00916,25,7.48,80.6,89.84,37.23,1,9.99,16,0.84,0.33,0
STD00917,17,4.51,65.32,74.28,46.07,1,1.66,4,0.93,0.42,0
STD00918,22,4.26,66.31,76.45,67.48,14,4.01,0,0.92,0.24,0
STD00919,23,8.0,53.55,71.39,73.61,6,11.72,16,0.94,0.72,0
STD00920,19,8.94,67.49,92.47,44.65,10,8.17,9,0.93,0.96,0
STD00921,24,8.69,93.12,42.61,60.92,14,13.96,11,0.62,0.68,0
STD00922,21,7.26,61.65,55.66,93.79,4,6.72,19,0.38,0.66,0
STD00923,25,4.6,84.76,92.55,99.93,6,13.11,1,0.84,0.6,0
STD00924,21,8.13,81.48,85.14,99.17,16,7.01,15,0.37,0.18,0
STD00925,25,5.45,93.17,41.06,92.31,21,14.7,14,0.41,0.76,0
STD00926,20,9.47,56.61,71.02,60.65,1,14.42,12,0.39,0.64,0
STD00927,25,9.03,98.88,71.77,79.63,6,5.27,17,0.61,0.7,0
STD00928,21,8.26,79.13,64.05,62.08,9,13.35,19,0.46,0.91,0
STD00929,25,9.69,99.77,57.84,77.15,15,12.79,13,0.32,0.81,0
STD00930,19,4.19,95.58,80.9,55.11,12,3.55,17,0.56,0.8,0
STD00931,20,8.42,61.08,52.47,74.4,3,9.55,1,0.9,0.93,0
STD00932,25,5.98,52.81,87.94,69.04,11,1.55,1,0.66,0.99,0
STD00933,22,9.44,62.78,88.18,36.59,15,12.63,2,0.9,0.62,0
STD00934,18,5.6,76.38,64.92,86.4,3,3.03,4,0.36,0.2,0
STD00935,23,8.35,58.58,57.01,35.77,14,1.53,15,0.33,0.51,0
STD00936,18,9.27,58.37,57.03,54.06,2,6.3,14,0.66,0.81,0
STD00937,18,4.25,73.13,68.94,35.39,4,8.87,11,0.57,0.12,0
STD00938,17,6.39,51.66,83.17,59.45,19,12.9,8,0.73,0.15,0
STD00939,19,8.57,56.09,61.53,39.11,12,14.63,13,0.84,0.16,0
STD00940,22,6.73,70.79,76.6,94.38,2,6.87,15,0.8,0.76,0
STD00941,24,5.6,53.16,62.95,62.02,17,1.38,10,0.95,0.55,0
STD00942,25,5.32,69.84,58.27,64.87,3,11.36,5,0.52,0.43,0
STD00943,23,4.79,73.7,41.49,57.74,10,8.7,9,0.37,0.2,0
STD00944,20,9.14,72.56,40.23,75.79,16,6.99,7,0.64,0.76,0
STD00945,22,7.45,93.46,53.63,85.99,22,4.98,15,0.29,0.39,0
STD00946,21,4.46,76.5,64.38,77.13,9,7.78,2,0.43,0.34,0
STD00947,24,6.3,73.4,91.08,83.63,11,5.41,1,0.37,0.69,0
STD00948,17,6.21,70.54,87.91,93.89,21,11.48,15,0.52,0.6,0
STD00949,17,5.09,90.88,56.03,91.13,15,8.39,18,0.29,0.43,0
STD00950,22,6.61,94.75,54.67,78.81,3,13.21,8,0.23,0.68,0
STD00951,18,5.99,92.66,53.64,48.95,16,8.38,15,0.73,0.34,0
STD00952,21,6.05,83.68,60.35,76.45,21,3.95,3,0.69,0.82,0
STD00953,17,8.43,56.87,69.89,67.9,21,12.84,9,0.77,0.31,0
STD00954,23,5.34,63.84,66.32,81.62,21,8.58,18,0.73,0.24,0
STD00955,17,7.85,52.3,53.1,89.14,12,3.5,12,0.29,0.8,0
STD00956,20,7.42,96.54,47.83,83.28,23,9.54,17,0.43,0.74,0
STD00957,25,7.41,83.04,40.75,90.03,5,5.69,14,0.3,0.26,0
STD00958,17,7.98,87.32,49.24,39.15,7,12.74,3,0.87,0.2,0
STD00959,20,7.29,65.58,82.32,37.06,9,7.07,8,0.8,0.85,0
STD00960,22,9.28,92.28,54.62,51.8,21,11.03,3,0.36,0.8,0
STD00961,22,8.05,62.98,68.12,93.54,18,1.89,15,0.47,0.39,0
STD00962,24,7.28,50.08,75.48,88.54,21,6.24,14,0.97,0.69,0
STD00963,17,8.98,68.82,93.21,79.38,8,14.76,1,0.68,0.21,0
STD00964,23,7.64,78.54,93.33,80.55,12,12.22,13,0.84,0.56,0
STD00965,17,5.75,73.94,84.74,82.23,20,2.82,2,0.41,0.12,0
STD00966,23,5.24,93.1,42.11,96.27,2,4.53,3,0.37,0.45,0
STD00967,19,4.91,55.27,74.5,89.09,10,5.28,0,0.83,0.17,0
STD00968,24,9.4,77.69,87.2,75.52,19,9.93,8,0.75,0.53,0
STD00969,19,8.26,75.65,41.04,78.27,9,11.48,16,0.74,0.48,0
STD00970,17,9.62,64.07,72.98,48.89,24,11.37,13,0.64,0.5,0
STD00971,24,7.62,91.11,91.47,77.73,8,7.89,16,0.65,0.14,0
STD00972,19,6.84,87.64,68.45,62.6,24,12.26,0,0.79,0.43,0
STD00973,18,4.36,86.64,40.25,44.94,24,6.84,9,0.42,0.78,0
STD00974,17,8.03,93.81,40.66,87.42,24,2.3,15,0.48,0.43,0
STD00975,19,7.49,86.14,65.0,68.17,1,8.68,18,0.9,0.74,0
STD00976,18,9.94,61.59,49.3,98.53,6,14.31,2,0.45,0.43,0
STD00977,18,5.43,85.28,79.87,53.31,12,12.0,11,0.64,0.48,0
STD00978,22,7.18,65.39,82.53,66.24,24,8.89,2,0.76,0.61,0
STD00979,17,7.91,62.11,50.67,64.12,19,9.88,14,1.0,0.96,0
STD00980,18,7.87,53.65,93.31,42.85,17,13.99,16,0.55,0.2,0
STD00981,22,7.37,87.2,66.51,62.7,2,6.71,17,0.54,0.13,0
STD00982,19,8.66,85.55,48.57,53.69,11,5.31,6,0.87,0.65,0
STD00983,20,5.23,61.72,85.86,45.42,18,14.67,18,0.84,0.95,0
STD00984,17,8.35,87.47,87.4,53.34,23,13.02,6,0.78,0.99,0
STD00985,24,7.72,95.89,78.36,50.16,22,5.18,4,0.57,0.54,0
STD00986,23,9.38,55.4,91.21,82.71,11,7.22,7,0.46,0.52,0
STD00987,23,9.08,61.63,84.24,37.0,18,6.52,15,0.69,0.68,0
STD00988,19,5.89,87.51,92.93,75.14,8,2.66,15,0.9,0.6,0
STD00989,19,5.66,63.73,66.03,84.44,15,14.39,18,0.91,0.67,0
STD00990,18,9.89,81.23,84.86,66.25,9,6.36,14,0.29,0.89,0
STD00991,17,7.16,54.06,99.99,95.55,15,13.19,6,0.54,0.77,0
STD00992,23,9.44,72.61,83.5,81.01,7,3.25,4,0.57,0.55,0
STD00993,23,4.98,86.95,46.85,83.62,20,8.44,10,0.98,0.52,0
STD00994,18,7.86,84.33,71.1,47.8,13,0.85,9,0.74,0.68,0
STD00995,23,8.86,90.75,75.24,85.52,13,11.58,8,0.53,0.51,0
STD00996,24,9.68,93.87,50.45,89.09,1,8.92,0,0.22,0.51,0
STD00997,17,6.02,88.66,97.77,58.48,20,9.57,19,0.65,0.11,0
STD00998,25,8.35,83.58,50.53,48.87,4,1.25,0,0.28,0.26,0
STD00999,23,7.23,51.59,50.65,60.03,24,3.56,7,0.87,0.54,0
STD01000,19,4.36,76.75,94.91,83.07,4,1.58,2,0.8,0.84,0
STD01001,24,8.14,51.88,67.91,62.15,4,4.69,1,0.57,0.35,0
STD01002,23,8.14,90.4,43.79,82.88,13,9.6,3,0.54,0.57,0
STD01003,24,9.58,66.04,75.89,42.38,2,8.71,18,0.92,0.41,0
STD01004,22,6.98,78.12,76.11,87.39,23,9.38,10,0.43,0.19,0
STD01005,25,5.38,63.97,43.87,51.46,15,8.46,4,0.4,0.96,1
STD01006,21,4.27,89.13,98.35,51.18,4,4.46,9,0.95,0.87,0
STD01007,19,6.49,94.33,72.64,73.37,6,4.05,7,0.85,0.17,0
STD01008,19,5.81,69.93,73.59,39.56,3,2.49,12,0.86,0.75,0
STD01009,17,8.57,93.15,71.21,36.71,7,12.81,4,0.36,0.41,0
STD01010,24,6.13,63.35,76.64,51.97,6,9.44,11,0.31,1.0,0
STD01011,18,9.69,76.73,55.86,69.97,3,3.2,12,0.22,0.37,0
STD01012,19,9.77,92.94,57.23,94.0,4,3.07,7,0.39,0.31,0
STD01013,24,7.73,66.29,70.68,90.02,10,13.16,14,0.82,0.61,0
STD01014,24,9.57,97.7,88.4,66.88,21,11.27,12,0.39,0.85,0
